ticker,corp_name,유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
010580,에스엠벡셀,162.067,1281.0,51.26,57.357,1403.0,54.92
460870,에스엠씨지,86.364,2058.0,82.38,131.002,646.0,25.26
007820,에스엠코어,195.786,1051.0,42.05,83.054,1062.0,41.56
464080,에스오에스랩,731.205,228.0,9.09,22.193,2065.0,80.85
109610,에스와이,103.427,1869.0,74.81,121.254,705.0,27.58
365330,에스와이스틸텍,177.137,1158.0,46.34,59.719,1367.0,53.51
012750,에스원,245.992,839.0,33.56,39.865,1695.0,66.35
019590,에스유앤피,293.12,697.0,27.87,22.776,2045.0,80.06
306040,에스제이그룹,221.563,930.0,37.2,70.319,1237.0,48.41
123700,에스제이엠,469.506,397.0,15.86,25.428,1979.0,77.48
025530,에스제이엠홀딩스,648.128,272.0,10.85,22.295,2060.0,80.65
398120,에스지헬스케어,361.803,555.0,22.19,44.175,1609.0,62.98
326030,에스케이바이오팜,164.373,1258.0,50.34,80.634,1100.0,43.05
475660,에스켐,758.154,216.0,8.61,9.325,2403.0,94.09
096630,에스코넥,96.173,1943.0,77.77,263.343,211.0,8.23
069510,에스텍,190.525,1078.0,43.13,90.636,964.0,37.72
234300,에스트래픽,152.009,1376.0,55.07,92.354,945.0,36.98
039440,에스티아이,244.447,846.0,33.84,41.403,1656.0,64.83
098660,에스티오,135.191,1516.0,60.67,168.267,439.0,17.16
052020,에스티큐브,2766.62,18.0,0.68,18.699,2166.0,84.8
237690,에스티팜,247.656,829.0,33.16,43.517,1619.0,63.38
050760,에스폴리텍,131.532,1563.0,62.56,71.217,1223.0,47.87
288620,에스퓨얼셀,196.685,1046.0,41.85,79.931,1112.0,43.52
443670,에스피소프트,356.895,567.0,22.67,22.657,2050.0,80.26
317830,에스피시스템스,207.158,989.0,39.57,48.388,1543.0,60.4
058610,에스피지,224.985,913.0,36.52,56.418,1417.0,55.46
043340,에쎈테크,111.176,1780.0,71.25,182.395,382.0,14.92
023960,에쓰씨엔지니어링,106.998,1827.0,73.13,143.924,562.0,21.97
163280,에어레인,321.565,629.0,25.15,28.792,1906.0,74.62
298690,에어부산,69.47,2241.0,89.71,919.093,36.0,1.37
054630,에이디칩스,118.626,1708.0,68.36,674.775,68.0,2.62
200710,에이디테크놀로지,160.957,1293.0,51.74,86.041,1022.0,39.99
475580,에이럭스,1065.769,131.0,5.21,10.456,2371.0,92.83
096690,에이루트,110.807,1787.0,71.53,82.388,1076.0,42.11
140910,에이리츠,151.767,1381.0,55.27,173.759,414.0,16.18
078520,에이블씨엔씨,188.607,1088.0,43.53,74.29,1189.0,46.53
298380,에이비엘바이오,227.509,904.0,36.16,38.675,1716.0,67.18
203400,에이비온,15.957,2483.0,99.4,126.739,663.0,25.93
195990,에이비프로바이오,233.074,888.0,35.52,30.785,1868.0,73.13
003800,에이스침대,253.958,808.0,32.32,10.715,2364.0,92.56
088800,에이스테크,81.46,2130.0,85.26,218.917,287.0,11.2
241840,에이스토리,271.616,742.0,29.68,27.007,1942.0,76.03
453860,에이에스텍,166.797,1235.0,49.42,58.486,1377.0,53.9
312610,에이에프더블류,213.893,960.0,38.41,24.288,2011.0,78.73
015260,에이엔피,59.518,2323.0,92.99,261.519,213.0,8.3
172670,에이엘티,47.521,2394.0,95.84,112.691,773.0,30.24
481070,에이유브랜즈,377.256,534.0,21.35,37.327,1743.0,68.23
445090,에이직랜드,160.15,1300.0,52.02,98.244,893.0,34.94
295310,에이치브이엠,168.307,1219.0,48.78,80.926,1092.0,42.73
072990,에이치시티,123.148,1662.0,66.52,77.059,1147.0,44.89
044990,에이치엔에스하이텍,1315.969,96.0,3.8,7.742,2442.0,95.61
239610,에이치엘사이언스,1668.094,56.0,2.2,3.33,2528.0,98.98
036170,에이치엠넥스,8889.72,1.0,0.0,0.913,2542.0,99.53
148930,에이치와이티씨,956.751,153.0,6.09,17.053,2195.0,85.94
376270,에이치이엠파마,190.655,1076.0,43.05,41.136,1662.0,65.06
044780,에이치케이,247.482,830.0,33.2,34.907,1786.0,69.92
357230,에이치피오,285.867,711.0,28.43,35.233,1778.0,69.6
355690,에이텀,124.836,1642.0,65.72,221.529,281.0,10.97
