ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%),ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%),유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
237690,에스티팜,-3.944,1756.0,70.03,-17.364,1378.0,54.15,7.296,804.0,31.59,10.12,456.0,18.19,247.656,829.0,33.16,43.517,1619.0,63.38
50760,에스폴리텍,9.485,868.0,34.6,-124.848,2221.0,87.3,8.027,724.0,28.44,0.8,1558.0,62.26,131.532,1563.0,62.56,71.217,1223.0,47.87
288620,에스퓨얼셀,3.509,1243.0,49.56,66.666,436.0,17.11,-1.796,1710.0,67.23,-12.29,2062.0,82.41,196.685,1046.0,41.85,79.931,1112.0,43.52
443670,에스피소프트,28.015,372.0,14.8,-20.961,1430.0,56.19,0.633,1551.0,60.98,8.33,570.0,22.75,356.895,567.0,22.67,22.657,2050.0,80.26
317830,에스피시스템스,17.467,594.0,23.66,821.691,39.0,1.49,-3.242,1772.0,69.67,-3.94,1872.0,74.81,207.158,989.0,39.57,48.388,1543.0,60.4
58610,에스피지,-1.348,1604.0,63.97,-22.759,1449.0,56.94,5.544,1010.0,39.69,3.17,1199.0,47.9,224.985,913.0,36.52,56.418,1417.0,55.46
43340,에쎈테크,14.134,676.0,26.94,-94.693,2102.0,82.62,-10.892,1993.0,78.36,-0.7,1715.0,68.53,111.176,1780.0,71.25,182.395,382.0,14.92
23960,에쓰씨엔지니어링,32.282,315.0,12.53,567.714,59.0,2.28,8.759,641.0,25.18,3.65,1117.0,44.62,106.998,1827.0,73.13,143.924,562.0,21.97
163280,에어레인,49.902,191.0,7.58,679.394,50.0,1.93,4.029,1183.0,46.5,7.64,633.0,25.27,321.565,629.0,25.15,28.792,1906.0,74.62
298690,에어부산,13.063,721.0,28.73,-8.434,1260.0,49.51,1.484,1472.0,57.87,14.53,260.0,10.36,69.47,2241.0,89.71,919.093,36.0,1.37
54630,에이디칩스,-60.243,2466.0,98.36,64.168,442.0,17.34,-68.082,2438.0,95.87,-140.35,2428.0,97.04,118.626,1708.0,68.36,674.775,68.0,2.62
200710,에이디테크놀로지,6.362,1038.0,41.38,-2.606,1159.0,45.54,-10.826,1991.0,78.28,-15.91,2121.0,84.77,160.957,1293.0,51.74,86.041,1022.0,39.99
475580,에이럭스,0.358,1499.0,59.78,-40.246,1700.0,66.81,6.597,891.0,35.01,5.46,883.0,35.27,1065.769,131.0,5.21,10.456,2371.0,92.83
96690,에이루트,10.23,836.0,33.32,194.336,179.0,7.0,-31.698,2278.0,89.58,-30.34,2246.0,89.76,110.807,1787.0,71.53,82.388,1076.0,42.11
140910,에이리츠,178.747,39.0,1.52,-6.396,1228.0,48.25,-7.626,1909.0,75.06,,,,151.767,1381.0,55.27,173.759,414.0,16.18
78520,에이블씨엔씨,-3.525,1735.0,69.19,72.72,414.0,16.24,16.256,241.0,9.44,7.47,649.0,25.91,188.607,1088.0,43.53,74.29,1189.0,46.53
298380,에이비엘바이오,-49.04,2450.0,97.73,2168.824,11.0,0.39,-46.014,2376.0,93.43,-177.76,2443.0,97.64,227.509,904.0,36.16,38.675,1716.0,67.18
203400,에이비온,-40.385,2422.0,96.61,9.004,948.0,37.24,-227.666,2527.0,99.37,,,,15.957,2483.0,99.4,126.739,663.0,25.93
195990,에이비프로바이오,24.779,422.0,16.8,15.887,846.0,33.23,-13.57,2048.0,80.53,-32.23,2252.0,90.0,233.074,888.0,35.52,30.785,1868.0,73.13
3800,에이스침대,6.389,1037.0,41.34,16.14,842.0,33.07,9.697,574.0,22.54,20.32,120.0,4.76,253.958,808.0,32.32,10.715,2364.0,92.56
88800,에이스테크,3.59,1235.0,49.24,-49.994,1790.0,70.35,-69.563,2444.0,96.11,-21.47,2183.0,87.25,81.46,2130.0,85.26,218.917,287.0,11.2
241840,에이스토리,-73.993,2490.0,99.32,-150.465,2280.0,89.62,-8.108,1932.0,75.96,-23.7,2204.0,88.08,271.616,742.0,29.68,27.007,1942.0,76.03
364950,에이아이코리아,49.09,198.0,7.86,97.77,339.0,13.29,32.48,40.0,1.53,7.69,627.0,25.03,171.84,1186.0,47.46,93.93,932.0,36.47
453860,에이에스텍,-10.072,2006.0,80.01,-5.096,1202.0,47.23,18.369,184.0,7.2,20.44,119.0,4.72,166.797,1235.0,49.42,58.486,1377.0,53.9
312610,에이에프더블류,130.78,54.0,2.11,58.616,472.0,18.52,-9.334,1963.0,77.18,-41.13,2302.0,92.0,213.893,960.0,38.41,24.288,2011.0,78.73
15260,에이엔피,-19.457,2243.0,89.47,228.344,149.0,5.82,-35.602,2315.0,91.03,-5.28,1923.0,76.85,59.518,2323.0,92.99,261.519,213.0,8.3
172670,에이엘티,-23.11,2297.0,91.62,-349.374,2432.0,95.6,-8.803,1951.0,76.71,-33.29,2258.0,90.24,47.521,2394.0,95.84,112.691,773.0,30.24
481070,에이유브랜즈,6.48,1025.0,40.86,-23.35,1463.0,57.49,37.806,31.0,1.18,27.87,56.0,2.2,377.256,534.0,21.35,37.327,1743.0,68.23
445090,에이직랜드,26.841,390.0,15.52,-539.609,2473.0,97.21,-15.387,2072.0,81.47,-18.04,2159.0,86.29,160.15,1300.0,52.02,98.244,893.0,34.94
295310,에이치브이엠,8.884,900.0,35.87,-282.105,2403.0,94.46,-17.386,2108.0,82.89,-15.04,2108.0,84.25,168.307,1219.0,48.78,80.926,1092.0,42.73
72990,에이치시티,27.384,384.0,15.28,39.863,593.0,23.28,5.985,961.0,37.77,11.87,358.0,14.27,123.148,1662.0,66.52,77.059,1147.0,44.89
44990,에이치엔에스하이텍,-5.452,1838.0,73.3,-4.201,1192.0,46.83,15.194,278.0,10.9,17.55,176.0,7.0,1315.969,96.0,3.8,7.742,2442.0,95.61
239610,에이치엘사이언스,-30.966,2370.0,94.53,110.109,306.0,11.99,-8.078,1931.0,75.92,-55.82,2352.0,94.0,1668.094,56.0,2.2,3.33,2528.0,98.98
36170,에이치엠넥스,4.401,1171.0,46.69,2106.487,12.0,0.43,4.544,1133.0,44.53,2.1,1373.0,54.86,8889.72,1.0,0.0,0.913,2542.0,99.53
148930,에이치와이티씨,-20.447,2256.0,89.98,-88.127,2074.0,81.52,4.294,1157.0,45.48,1.31,1489.0,59.5,956.751,153.0,6.09,17.053,2195.0,85.94
376270,에이치이엠파마,181.947,36.0,1.4,-34.686,1637.0,64.33,-35.159,2312.0,90.91,-50.98,2332.0,93.2,190.655,1076.0,43.05,41.136,1662.0,65.06
44780,에이치케이,-18.941,2235.0,89.15,-413.482,2447.0,96.19,-3.777,1799.0,70.73,-4.88,1904.0,76.09,247.482,830.0,33.2,34.907,1786.0,69.92
