ticker,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
039570,,,,,,,,,,,,,,,,,,,,
294870,대비(11회),가구(11회),기자(9회),가구로(8회),전년(8회),동기(8회),영업정지(6회),악성(6회),감소했다(6회),1만(6회),다른(5회),주택(5회),준공(5회),2만(5회),미분양(4회),연속(4회),수도(4회),주가(3회),인허가(3회),착공(3회)
009540,Hyundai(5회),한국조선해양(4회),대형(4회),중형(4회),이재명(3회),탕감(3회),미친(3회),질주(3회),정리글(3회),Heavy(3회),Industries(3회),조선수리사업(2회),갑자기(2회),해군(2회),수주(2회),실패(2회),윤석열(2회),수주달성(2회),중국인(2회),중국인에게(2회)
267250,지분(2회),가치가(2회),자회사(2회),조선기자재(1회),영업이익(1회),위기업(1회),세진사시고수욜저녁(1회),사시면주식수(1회),늘어남(1회),쪼개기(1회),상장으로(1회),난도질(1회),기업(1회),상법개정안(1회),통과로(1회),주주에게(1회),이익이(1회),상장하세요(1회),고려중(1회),상장확정되면(1회)
267270,밀러감(2회),우크(1회),러시(1회),이란(1회),기달이슈(1회),도대체(1회),무슨(1회),종목이냐(1회),개잡주(1회),다른것들(1회),배씩(1회),오를때(1회),뭐하는거지(1회),부동사(1회),대책(1회),영향(1회),코에걸면(1회),코걸이니(1회),2배씩(1회),이슬몇일만(1회)
443060,연일(2회),외인(1회),사고(1회),개미(1회),기관(1회),판다이것은(1회),머시기다(1회),질질(1회),흐르노(1회),팔았나(1회),드릅게(1회),안올라도야금야금(1회),꾸준히(1회),오르는(1회),다른(1회),조선(1회),프로가는데(1회),답답하네(1회),현대마린솔루션(1회),기사(1회)
071970,투자(5회),판단일(4회),종가보다(3회),종가가(3회),투자경고(2회),종목(2회),지정일(2회),투자경고종목(2회),상승(2회),가자(2회),증권사가(1회),가장(1회),싫어하는(1회),몇억씩(1회),투자하며(1회),최저수수료(1회),혜택(1회),사고(1회),팔지(1회),사면(1회)
010620,비추(5회),조선주(3회),이재명(3회),탕감(3회),종목(2회),불안정성(2회),간헐성까지도(2회),조선수리사업(2회),해군(2회),수주(2회),실패(2회),윤석열(2회),수주달성(2회),중국인(2회),중국인에게(2회),떨어지면(2회),개미들은(2회),털린(2회),추천(2회),공매도(2회)
322000,가즈아(3회),만원(3회),꼴도(2회),가보자(2회),가자(2회),폐지로도(2회),이슈인데도(2회),형국에서도(2회),맥도(2회),지지자(2회),무조건(2회),공매도(2회),주주보호(1회),한다함코스피(1회),올라가는데역으로(1회),빠져주주들(1회),울화통(1회),터질것(1회),공시뜸(1회),공시떴네(1회)
042670,추락한번더가자(4회),공매도(3회),외인(2회),코스피(2회),팔아돈좀벌자(2회),만원(2회),실적(2회),합병은개뿔(1회),빠다리(1회),무한탄창에(1회),무한실탄(1회),게임(1회),개미가(1회),지쳐(1회),떨어져야(1회),오르겠네(1회),개미물량(1회),더뺏으려나(1회),세력님(1회),공매야(1회)
267260,전력(18회),벌크(5회),50만(5회),인프라(4회),간소화(4회),기자(4회),공매도(4회),이벤트(4회),MOU(4회),데이터센터(3회),만원(3회),데이터(3회),통신(3회),전문(3회),기업(3회),고압차단기(3회),노르웨이(3회),유럽(3회),시장(3회),효성(3회)
329180,공감(10회),비공감(10회),미국(6회),한국(5회),고속철도(5회),지도(4회),광고(4회),만원으로(4회),쇄빙선(3회),차트를(3회),공매도(3회),설거지(3회),일본(3회),좌빨화(3회),업계(3회),주요(3회),달러(3회),LNG(3회),매도(3회),에디슨(2회)
097230,매수(3회),매도(2회),빨리빨리가자(2회),유상증자(2회),시총이(2회),https(2회),news(2회),naver(2회),com(2회),article(2회),개미(1회),꼬신디(1회),탈출이다(1회),외인(1회),기관(1회),바닥은(1회),찍은듯(1회),인적분할(1회),조선(1회),자배정(1회)
195940,폭락(4회),투자(4회),홀딩스(3회),매도(3회),조만간(2회),실적(2회),다른(2회),돔황차(2회),만주(2회),한국콜마(2회),부회장(2회),퇴직금도(2회),퇴직(2회),호구들(2회),제약(2회),키움(2회),풀매수(2회),신한(2회),풀매도(2회),종목(2회)
014790,부동산(3회),집값(3회),폭등시켜서(2회),이재명(2회),당선되자마자(2회),문재인처럼(2회),어쩌누(2회),자식들(2회),부모들(2회),한채(2회),거래했는데도(2회),올려주지도(2회),올라오지도(2회),윤석열보다도(2회),물가(2회),폭등시키고(2회),주식으로(2회),벌어도(2회),서울부동산(1회),가격(1회)
028300,신약(17회),FDA(17회),진양곤(15회),투자(12회),지적(12회),미국(9회),승인(9회),허가(8회),가자(8회),돈을(8회),지금이라도(8회),HLB(8회),타입(7회),주식을(7회),만원(6회),리보세라닙(5회),시스템(5회),결국(5회),엘사(5회),1차(5회)
003580,다국적(6회),만원만가자(2회),패혈증치료제(2회),기업화이자(2회),리픽싱(2회),처넌대가도(2회),돈이라도(2회),개잡주(1회),손실(1회),욕심없다(1회),글로벌(1회),자회사(1회),노바티스(1회),사노피가서로(1회),사겠다고협상하면얼마나(1회),쟁탈전(1회),치료제가(1회),우수하면(1회),포기한(1회),주가가(1회)
278650,머하는(2회),시설투자도(2회),회사(2회),전화(2회),회산교(1회),회사길래(1회),사옥증축에(1회),백억이나(1회),거금을(1회),대애단(1회),손절(1회),하야되나(1회),손실이커(1회),답답하다(1회),사기꾼회사인가(1회),사옥중축(1회),임대수익(1회),부동산회사냐(1회),세통수(1회),매입평균(1회)
067630,엘생(24회),주가(16회),합병(15회),엘비(10회),생명과학(9회),승인(9회),리보(7회),신화(7회),매수(6회),유증(6회),가도(6회),생명과학의(5회),음봉(5회),진양곤(5회),원까지(5회),진양곤이(5회),주가를(5회),28000원까지(5회),합병을(4회),필연적(4회)
024850,이놈도(2회),리보랑(2회),1540억(2회),무형자산(1회),영업권(1회),저거뭐지(1회),자기자본이(1회),영업권자산(1회),당췌(1회),누가(1회),무슨영업권(1회),타짜(1회),예림이가(1회),사기꾼중에(1회),최고에요(1회),상관있음(1회),허구한날(1회),퍼랭이(1회),재료가(1회),다른데(1회)
187420,하늘도(2회),결국(2회),너도(2회),양곤아(1회),재구는(1회),잘라라(1회),그놈(1회),회사에(1회),있는한(1회),주가(1회),못간다(1회),그리고(1회),회사(1회),거덜낸다(1회),제넥포커스(1회),밑에분(1회),말씀공감합니다(1회),애는(1회),원래(1회),이런애입니다(1회)
047920,진양곤(5회),월도(4회),마감(4회),보자(4회),주주들(3회),복제약도(2회),조희팔(2회),과연(2회),누가(2회),사기칠까(2회),미팅(2회),아무결과도(2회),결과도(2회),지적(2회),희망도(2회),알부민(2회),너무좋습니다지인분들도(2회),완전(2회),사기치나(2회),주주들이(2회)
115450,매도(8회),OKN(8회),임상(7회),환자(5회),공매도(4회),데이터(3회),리픽싱(3회),교모세포종(3회),안전성(3회),시총(3회),동전주(3회),쩜상(2회),주가는(2회),주식이네(2회),사지마세요(2회),물량(2회),거래량(2회),테라퓨틱스의(2회),긍정적(2회),가능성(2회)
046210,상장주에도(2회),한심한(1회),주가(1회),원대에서(1회),바뀌고(1회),대표(1회),다른(1회),CEO(1회),6000원대에서(1회),2000원(1회),,,,,,,,,,
204320,오늘도(4회),종목투자자(2회),모르는데요종목투자자(2회),홍콩(2회),더럽게도(2회),만도도(2회),존버(2회),사모펀드(1회),주식초보라(1회),사모펀드가(1회),매수하고있는데(1회),하락은(1회),횡보(1회),상방(1회),으로방향턴(1회),악재는다(1회),반영(1회),티로우프라이스(1회),리미티드가(1회),물량(1회)
011200,실적(55회),공매도(31회),자사주(27회),HMM(27회),분기(26회),이재명(21회),북극항로(17회),주가(16회),산은(15회),하향(15회),대비(14회),취득(14회),눈높이가(14회),삼성전자(14회),상향(13회),감히(12회),건드려(12회),분기에도(12회),지분(11회),대통령(11회)
403870,삼성전자(2회),본격화(2회),실적(2회),헛소리해도(2회),뭐하냐(2회),지금이라도(2회),거래량도(2회),테마도(2회),솔브레인도(2회),시디즈(2회),무증발표(2회),고압(2회),전력(2회),HPSP(2회),1위(2회),단독(1회),경쟁(1회),하락이유(1회),공매견들(1회),차트상(1회)
036640,5420원(3회),후행스팬이(2회),차트(2회),분석도(2회),타지도(2회),로봇(2회),개발한초소형(2회),탄소섬유는(2회),로봇스펙쌓기에도(2회),5560원(2회),일목(1회),거래봉과(1회),시가(1회),기대를(1회),거래를(1회),재이탈없이(1회),재돌파시(1회),단타지향일(1회),기준으로(1회),대기(1회)
487570,효성(4회),별도(4회),의원(3회),세율을(3회),배당(2회),유도(2회),달성(2회),국정기획위와(2회),만원(2회),초과(2회),억원(2회),전면적(2회),부자(2회),제한적(2회),다른애들도(2회),https(2회),com(2회),2000만원(2회),3억원(2회),배당성(2회)
298050,삼식이도(2회),종가(2회),봤자(2회),누가봐도(2회),올라가야(1회),억지로(1회),누르고(1회),음봉만(1회),마라(1회),옆집(1회),가두리(1회),장난질(1회),매수세가(1회),이미(1회),가둬놓고(1회),지들이(1회),사고팔고(1회),장난질이(1회),보이는데(1회),티가(1회)
015360,실적(25회),억원(15회),네트웍스(14회),스포츠(13회),천원(12회),매출(12회),영업이익(12회),전력(12회),렉서스(10회),투자(10회),국내(10회),천억원(9회),그룹(9회),전력인프라(7회),도요타(7회),목재펠릿(7회),소재(6회),증권(6회),BPS(6회),1조(6회)
095340,외국인(1회),쓸어담네(1회),매수(1회),떨어질(1회),하등의(1회),해먹으려고(1회),떨구는척(1회),액션을(1회),이노(1회),폭등(1회),지분가치(1회),상승(1회),관련주(1회),씨엔에스(1회),함보고(1회),계열불장이로구나(1회),머하니(1회),Isc(1회),,
950170,스테이블코인(8회),실적(5회),일본(4회),대표적(4회),보안(3회),인증(3회),신뢰성(3회),JTC(3회),주가(2회),상승보다(2회),압도적(2회),만원(2회),초대형(2회),제주도(2회),가자(2회),가보자(2회),수급(2회),보자(2회),한국정보인증(2회),성장성(2회)
001060,무상증자(4회),중외제약(3회),입성(3회),시디즈(2회),투자(2회),만주도(2회),뉴스도(2회),이유(1회),오르기(1회),제약(1회),폭락(1회),거래량(1회),배짱으로(1회),호가창(1회),호재(1회),아햇(1회),개미라고(1회),욕해야지(1회),부자되세요(1회),더위먹는둣(1회)
035900,주가(14회),상승(11회),투자(10회),매도(8회),제왑(7회),트와이스(6회),진짜(5회),에셈(5회),엔터(5회),박진영이(5회),추매(4회),늙은(4회),만원갔을때도(4회),프리장(4회),혼자(4회),저연차(4회),만주(4회),박진영(4회),에스엠(3회),주식(3회)
024840,시외(2회),지수(2회),순환매(1회),화이팅(1회),밑장빼다(1회),장난질(1회),장난치네(1회),주식(1회),슈퍼개미가(1회),데드크로스가빠르면(1회),이번주엔가능하지(1회),박스가(1회),섣불리(1회),예측을(1회),경솔했던것(1회),정배열(1회),모양은예쁘게(1회),거지라(1회),거지나(1회),년차(1회)
105560,공감(12회),비공감(12회),조회(6회),신고(6회),이재명(5회),주담대(3회),다팔아주는데그란다자꾸글적으란다공감(2회),천하권력(2회),다팔자꾸글적(2회),적정성(2회),평가도(2회),관리도(2회),반격(2회),다주택자(2회),부동산도(2회),탈출시간도(2회),상상도(2회),서울아파트(2회),한화(2회),금융주(1회)
