ticker,corp_name,ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%)
003300,한일홀딩스,8.819,635.0,24.94,12.42,336.0,13.39
007770,한일화학,3.89,1201.0,47.21,-5.24,1920.0,76.73
051600,한전KPS,13.259,343.0,13.45,13.46,306.0,12.2
052690,한전기술,10.404,529.0,20.77,9.9,468.0,18.67
130660,한전산업,10.614,508.0,19.94,4.39,1015.0,40.54
198940,한주라이트메탈,-17.116,2101.0,82.61,-3.45,1844.0,73.69
058450,한주에이알티,-50.719,2393.0,94.1,-45.62,2318.0,92.64
107640,한중엔시에스,32.695,39.0,1.49,5.4,889.0,35.51
002320,한진,-0.024,1622.0,63.77,3.32,1172.0,46.82
003480,한진중공업홀딩스,15.437,265.0,10.39,3.94,1080.0,43.14
180640,한진칼,16.61,228.0,8.93,16.84,192.0,7.64
005110,한창,254.332,2.0,0.04,-305.71,2468.0,98.64
079170,한창산업,10.556,512.0,20.1,9.27,505.0,20.15
009460,한창제지,2.847,1318.0,51.81,0.39,1617.0,64.61
372910,한컴라이프케어,5.564,1009.0,39.65,7.15,677.0,27.03
054920,한컴위드,-3.303,1775.0,69.79,0.29,1632.0,65.21
457370,한켐,15.21,275.0,10.78,17.81,169.0,6.72
002680,한탑,-11.424,2005.0,78.84,4.42,1011.0,40.38
000880,한화,4.647,1118.0,43.94,4.34,1023.0,40.86
452260,한화갤러리아,-2.31,1734.0,68.17,0.58,1594.0,63.69
451800,한화리츠,0.94,1522.0,59.83,,,
489790,한화비전,,,,-0.02,1670.0,66.73
088350,한화생명,5.821,982.0,38.59,4.46,1005.0,40.14
000370,한화손해보험,10.033,551.0,21.64,6.6,737.0,29.43
009830,한화솔루션,-13.768,2051.0,80.65,-2.42,1799.0,71.89
272210,한화시스템,19.489,156.0,6.1,7.82,617.0,24.63
012450,한화에어로스페이스,31.652,42.0,1.61,15.41,230.0,9.16
082740,한화엔진,25.641,90.0,3.5,5.95,815.0,32.55
042660,한화오션,11.514,449.0,17.62,2.21,1360.0,54.34
003530,한화투자증권,2.372,1380.0,54.25,0.16,1651.0,65.97
195870,해성디에스,10.958,486.0,19.08,9.43,497.0,19.83
034810,해성산업,-0.251,1633.0,64.2,3.22,1191.0,47.58
059270,해성에어로보틱스,-1.33,1690.0,66.44,-4.79,1900.0,75.93
076610,해성옵틱스,-112.27,2493.0,98.03,-12.34,2063.0,82.45
101530,해태제과식품,11.374,463.0,18.17,7.8,620.0,24.75
220180,핸디소프트,0.875,1531.0,60.19,-7.01,1970.0,78.73
143210,핸즈코퍼레이션,-54.123,2402.0,94.45,-6.08,1943.0,77.65
900270,헝셩그룹,0.694,1543.0,60.66,6.28,771.0,30.79
214180,헥토이노베이션,11.06,480.0,18.84,15.29,239.0,9.52
234340,헥토파이낸셜,6.053,955.0,37.53,8.34,569.0,22.71
084990,헬릭스미스,-10.472,1984.0,78.01,-360.97,2476.0,98.96
187660,현대ADM,-120.04,2501.0,98.35,-163.49,2435.0,97.32
000720,현대건설,-7.615,1908.0,75.02,-3.87,1870.0,74.73
170030,현대공업,8.687,652.0,25.61,3.33,1170.0,46.74
453340,현대그린푸드,11.467,456.0,17.9,4.26,1032.0,41.22
086280,현대글로비스,13.252,344.0,13.49,6.17,785.0,31.35
064350,현대로템,22.169,120.0,4.68,10.43,428.0,17.07
079430,현대리바트,3.729,1213.0,47.68,1.29,1491.0,59.58
012330,현대모비스,9.358,600.0,23.56,5.37,892.0,35.63
319400,현대무벡스,16.173,244.0,9.56,7.2,672.0,26.83
048410,현대바이오,-16.361,2091.0,82.22,5.26,906.0,36.19
052260,현대바이오랜드,4.163,1169.0,45.95,13.69,294.0,11.72
069960,현대백화점,-0.012,1620.0,63.69,6.78,713.0,28.47
004560,현대비앤지스틸,4.945,1084.0,42.6,3.85,1094.0,43.7
016790,현대사료,0.0,1603.0,63.02,2.07,1378.0,55.06
004310,현대약품,-0.702,1656.0,65.11,0.1,1657.0,66.21
041440,현대에버다임,3.549,1231.0,48.39,2.8,1262.0,50.42
039010,현대에이치티,14.891,292.0,11.45,6.55,746.0,29.79
017800,현대엘리베이터,14.292,307.0,12.04,7.82,617.0,24.63
307950,현대오토에버,10.544,514.0,20.18,6.04,802.0,32.03
011210,현대위아,3.323,1261.0,49.57,2.67,1279.0,51.1
090850,현대이지웰,12.906,359.0,14.08,15.45,229.0,9.12
005380,현대자동차,11.914,435.0,17.07,8.13,591.0,23.59
004020,현대제철,0.045,1598.0,62.82,0.69,1580.0,63.13
005440,현대지에프홀딩스,15.066,286.0,11.21,2.67,1279.0,51.1
001500,현대차증권,2.802,1325.0,52.08,3.05,1215.0,48.54
011760,현대코퍼레이션,19.576,154.0,6.02,1.91,1401.0,55.98
227840,현대코퍼레이션홀딩스,14.695,298.0,11.68,9.05,518.0,20.67
126560,현대퓨처넷,1.39,1478.0,58.1,3.22,1191.0,47.58
001450,현대해상,15.752,255.0,9.99,7.18,673.0,26.87
057050,현대홈쇼핑,5.43,1025.0,40.28,3.38,1165.0,46.54
460930,현대힘스,8.07,714.0,28.05,9.66,484.0,19.31
092300,현우산업,8.058,718.0,28.21,3.76,1105.0,44.14
138360,협진,10.287,537.0,21.09,-5.45,1930.0,77.13
011080,형지I&C,-13.243,2040.0,80.21,-8.84,2005.0,80.13
308100,형지글로벌,-33.756,2298.0,90.36,-23.58,2201.0,87.96
093240,형지엘리트,8.764,640.0,25.14,5.28,904.0,36.11
003010,혜인,6.189,932.0,36.62,5.69,848.0,33.87
111110,호전실업,14.077,314.0,12.31,6.36,762.0,30.43
008770,호텔신라,-6.498,1884.0,74.08,-0.13,1675.0,66.93
060560,홈센타홀딩스,2.463,1366.0,53.7,3.34,1168.0,46.66
064240,홈캐스트,-3.857,1800.0,70.77,-2.49,1804.0,72.09
039610,화성밸브,7.76,762.0,29.94,8.73,542.0,21.63
378850,화승알앤에이,24.657,98.0,3.82,4.43,1010.0,40.34
241590,화승엔터프라이즈,6.118,943.0,37.06,5.13,919.0,36.71
006060,화승인더스트리,7.579,778.0,30.57,6.33,768.0,30.67
013520,화승코퍼레이션,18.955,168.0,6.57,5.22,909.0,36.31
010690,화신,11.13,477.0,18.73,3.81,1102.0,44.02
126640,화신정공,2.344,1384.0,54.41,0.42,1613.0,64.45
133820,화인베스틸,-59.842,2418.0,95.08,-16.06,2127.0,85.01
127980,화인써키트,9.33,602.0,23.64,5.25,908.0,36.27
061250,화일약품,3.431,1248.0,49.06,0.63,1588.0,63.45
010660,화천기계,4.279,1158.0,45.52,0.88,1546.0,61.78
000850,화천기공,2.535,1358.0,53.38,-0.33,1690.0,67.53
016580,환인제약,6.369,910.0,35.76,8.28,578.0,23.07
032560,황금에스티,4.852,1095.0,43.04,6.03,807.0,32.23
004800,효성,18.341,185.0,7.24,9.73,478.0,19.07
094280,효성 ITX,16.714,225.0,8.81,3.7,1110.0,44.34
097870,효성오앤비,5.939,970.0,38.12,15.17,245.0,9.76
298040,효성중공업,13.594,324.0,12.71,7.41,653.0,26.07
298020,효성티앤씨,10.85,492.0,19.32,3.48,1146.0,45.78
298000,효성화학,,,,-6.01,1941.0,77.57
093370,후성,-25.1,2200.0,86.51,-2.19,1783.0,71.25
290270,휴네시온,8.449,678.0,26.63,8.55,557.0,22.23
005870,휴니드테크놀러지스,6.446,903.0,35.48,3.96,1077.0,43.02
353190,휴럼,3.864,1202.0,47.25,1.07,1517.0,60.62
090710,휴림로봇,-6.167,1873.0,73.64,-3.71,1856.0,74.17
078590,휴림에이텍,10.068,550.0,21.6,5.66,851.0,33.99
205470,휴마시스,-13.26,2041.0,80.25,-41.55,2304.0,92.08
115160,휴맥스,-29.477,2253.0,88.59,1.16,1507.0,60.22
028080,휴맥스홀딩스,-30.191,2258.0,88.79,1.1,1516.0,60.58
175140,휴먼테크놀로지,-37.896,2329.0,91.58,-15.43,2116.0,84.57
200670,휴메딕스,18.406,183.0,7.16,26.65,60.0,2.36
079980,휴비스,-52.37,2398.0,94.3,-4.07,1879.0,75.09
065510,휴비츠,7.017,834.0,32.77,11.31,386.0,15.39
005010,휴스틸,2.098,1406.0,55.27,2.36,1330.0,53.14
263920,휴엠앤씨,8.047,720.0,28.28,10.47,425.0,16.95
